"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2017Q4","Scheme house","Monaghan County Council","Number","15"
"New Dwelling Completion","2017Q4","Scheme house","Mayo County Council","Number","16"
"New Dwelling Completion","2017Q4","Scheme house","Offaly County Council","Number","14"
"New Dwelling Completion","2017Q4","Scheme house","Roscommon County Council","Number","16"
"New Dwelling Completion","2017Q4","Scheme house","South Dublin County Council","Number","277"
"New Dwelling Completion","2017Q4","Scheme house","Sligo County Council","Number","21"
"New Dwelling Completion","2017Q4","Scheme house","Tipperary County Council","Number","9"
"New Dwelling Completion","2017Q4","Scheme house","Waterford City & County Council","Number","51"
"New Dwelling Completion","2017Q4","Scheme house","Westmeath County Council","Number","7"
"New Dwelling Completion","2017Q4","Scheme house","Wicklow County Council","Number","94"
"New Dwelling Completion","2017Q4","Scheme house","Wexford County Council","Number","24"
"New Dwelling Completion","2017Q4","Scheme house","Ireland","Number","2685"
"New Dwelling Completion","2017Q4","Apartment","Cork City Council","Number","4"
"New Dwelling Completion","2017Q4","Apartment","Clare County Council","Number","9"
"New Dwelling Completion","2017Q4","Apartment","Cavan County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Cork County Council","Number","3"
"New Dwelling Completion","2017Q4","Apartment","Carlow County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Dublin City Council","Number","151"
"New Dwelling Completion","2017Q4","Apartment","Dún Laoghaire Rathdown County Council","Number","99"
"New Dwelling Completion","2017Q4","Apartment","Donegal County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Fingal County Council","Number","234"
"New Dwelling Completion","2017Q4","Apartment","Galway County Council","Number","5"
"New Dwelling Completion","2017Q4","Apartment","Galway City Council","Number","4"
"New Dwelling Completion","2017Q4","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Kilkenny County Council","Number","6"
"New Dwelling Completion","2017Q4","Apartment","Kerry County Council","Number","6"
"New Dwelling Completion","2017Q4","Apartment","Longford County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Louth County Council","Number","5"
"New Dwelling Completion","2017Q4","Apartment","Limerick City & County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Leitrim County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Laois County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Meath County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Mayo County Council","Number","7"
"New Dwelling Completion","2017Q4","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","South Dublin County Council","Number","55"
"New Dwelling Completion","2017Q4","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Tipperary County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Waterford City & County Council","Number","15"
"New Dwelling Completion","2017Q4","Apartment","Westmeath County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Wicklow County Council","Number","13"
"New Dwelling Completion","2017Q4","Apartment","Wexford County Council","Number","3"
"New Dwelling Completion","2017Q4","Apartment","Ireland","Number","631"
"New Dwelling Completion","2017Q4","All house types","Cork City Council","Number","140"
"New Dwelling Completion","2017Q4","All house types","Clare County Council","Number","61"
"New Dwelling Completion","2017Q4","All house types","Cavan County Council","Number","38"
"New Dwelling Completion","2017Q4","All house types","Cork County Council","Number","312"
"New Dwelling Completion","2017Q4","All house types","Carlow County Council","Number","27"
"New Dwelling Completion","2017Q4","All house types","Dublin City Council","Number","485"
"New Dwelling Completion","2017Q4","All house types","Dún Laoghaire Rathdown County Council","Number","287"
"New Dwelling Completion","2017Q4","All house types","Donegal County Council","Number","99"
"New Dwelling Completion","2017Q4","All house types","Fingal County Council","Number","622"
"New Dwelling Completion","2017Q4","All house types","Galway County Council","Number","154"
"New Dwelling Completion","2017Q4","All house types","Galway City Council","Number","31"
"New Dwelling Completion","2017Q4","All house types","Kildare County Council","Number","316"
"New Dwelling Completion","2017Q4","All house types","Kilkenny County Council","Number","58"
"New Dwelling Completion","2017Q4","All house types","Kerry County Council","Number","86"
"New Dwelling Completion","2017Q4","All house types","Longford County Council","Number","25"
"New Dwelling Completion","2017Q4","All house types","Louth County Council","Number","120"
"New Dwelling Completion","2017Q4","All house types","Limerick City & County Council","Number","209"
"New Dwelling Completion","2017Q4","All house types","Leitrim County Council","Number","18"
"New Dwelling Completion","2017Q4","All house types","Laois County Council","Number","39"
"New Dwelling Completion","2017Q4","All house types","Meath County Council","Number","403"
"New Dwelling Completion","2017Q4","All house types","Monaghan County Council","Number","49"
"New Dwelling Completion","2017Q4","All house types","Mayo County Council","Number","72"
"New Dwelling Completion","2017Q4","All house types","Offaly County Council","Number","32"
"New Dwelling Completion","2017Q4","All house types","Roscommon County Council","Number","41"
"New Dwelling Completion","2017Q4","All house types","South Dublin County Council","Number","347"
"New Dwelling Completion","2017Q4","All house types","Sligo County Council","Number","47"
"New Dwelling Completion","2017Q4","All house types","Tipperary County Council","Number","57"
"New Dwelling Completion","2017Q4","All house types","Waterford City & County Council","Number","95"
"New Dwelling Completion","2017Q4","All house types","Westmeath County Council","Number","40"
"New Dwelling Completion","2017Q4","All house types","Wicklow County Council","Number","136"
"New Dwelling Completion","2017Q4","All house types","Wexford County Council","Number","86"
"New Dwelling Completion","2017Q4","All house types","Ireland","Number","4532"
"New Dwelling Completion","2018Q1","Single house","Cork City Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Clare County Council","Number","40"
"New Dwelling Completion","2018Q1","Single house","Cavan County Council","Number","27"
"New Dwelling Completion","2018Q1","Single house","Cork County Council","Number","129"
"New Dwelling Completion","2018Q1","Single house","Carlow County Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Dublin City Council","Number","15"
"New Dwelling Completion","2018Q1","Single house","Dún Laoghaire Rathdown County Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Donegal County Council","Number","73"
"New Dwelling Completion","2018Q1","Single house","Fingal County Council","Number","8"
"New Dwelling Completion","2018Q1","Single house","Galway County Council","Number","82"
"New Dwelling Completion","2018Q1","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2018Q1","Single house","Kildare County Council","Number","29"
"New Dwelling Completion","2018Q1","Single house","Kilkenny County Council","Number","28"
"New Dwelling Completion","2018Q1","Single house","Kerry County Council","Number","48"
"New Dwelling Completion","2018Q1","Single house","Longford County Council","Number","14"
"New Dwelling Completion","2018Q1","Single house","Louth County Council","Number","24"
"New Dwelling Completion","2018Q1","Single house","Limerick City & County Council","Number","32"
"New Dwelling Completion","2018Q1","Single house","Leitrim County Council","Number","9"
"New Dwelling Completion","2018Q1","Single house","Laois County Council","Number","23"
"New Dwelling Completion","2018Q1","Single house","Meath County Council","Number","52"
"New Dwelling Completion","2018Q1","Single house","Monaghan County Council","Number","22"
"New Dwelling Completion","2018Q1","Single house","Mayo County Council","Number","46"
"New Dwelling Completion","2018Q1","Single house","Offaly County Council","Number","16"
"New Dwelling Completion","2018Q1","Single house","Roscommon County Council","Number","17"
"New Dwelling Completion","2018Q1","Single house","South Dublin County Council","Number","5"
"New Dwelling Completion","2018Q1","Single house","Sligo County Council","Number","16"
"New Dwelling Completion","2018Q1","Single house","Tipperary County Council","Number","25"
"New Dwelling Completion","2018Q1","Single house","Waterford City & County Council","Number","23"
"New Dwelling Completion","2018Q1","Single house","Westmeath County Council","Number","28"
"New Dwelling Completion","2018Q1","Single house","Wicklow County Council","Number","24"
"New Dwelling Completion","2018Q1","Single house","Wexford County Council","Number","61"
"New Dwelling Completion","2018Q1","Single house","Ireland","Number","959"
"New Dwelling Completion","2018Q1","Scheme house","Cork City Council","Number","100"
"New Dwelling Completion","2018Q1","Scheme house","Clare County Council","Number","15"
"New Dwelling Completion","2018Q1","Scheme house","Cavan County Council","Number","8"
"New Dwelling Completion","2018Q1","Scheme house","Cork County Council","Number","74"
"New Dwelling Completion","2018Q1","Scheme house","Carlow County Council","Number","31"
"New Dwelling Completion","2018Q1","Scheme house","Dublin City Council","Number","147"
"New Dwelling Completion","2018Q1","Scheme house","Dún Laoghaire Rathdown County Council","Number","114"
